name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
Lunschania,,,,"St. Martin, Lunschania",CH,0.94,Hydro,Run-of-river,,1996,,46.6601503473,9.18823038522,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Bargaus,,,,Sagogn,CH,2.82,Hydro,Run-of-river,,1963,,46.7931455833,9.27364512391,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Punt Gronda (Segnas)",,,,Flims,CH,2.62,Hydro,Run-of-river,,2012,,46.8384516549,9.26509335259,,"Renewable energy",Hydro,,,"- Zentralen Punt Gronda (Segnas), Punt Gronda (Platt Alva) und Punt Gronda (Tarschlims) in einem Gebäude; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Punt Gronda (Platt Alva)",,,,Flims,CH,0.64,Hydro,Run-of-river,,2012,,46.8384516549,9.26509335259,,"Renewable energy",Hydro,,,"- Zentrale Punt Gronda (Platt Alva), Punt Gronda (Segnas) und Punt Gronda (Tarschlims) in einem Gebäude;  ; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Punt Gronda (Tarschlims)",,,,Flims,CH,0.3,Hydro,Run-of-river,,2013,,46.8384516549,9.26509335259,,"Renewable energy",Hydro,,,"- Zentrale Punt Gronda (Tarschlims), Punt Gronda (Platt Alva) und  Punt Gronda (Segnas) in einem Gebäude; #NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Stenna (Flims) Flembach",,,,Flims,CH,1.73,Hydro,Run-of-river,,1999,,46.8337568535,9.28289622392,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Flims, Felsbach (Karstwasser)",,,,Flims,CH,0.88,Hydro,Run-of-river,,2011,,46.8340905068,9.31765249379,,"Renewable energy",Hydro,,,"- Zentrale Flims, Felsbach (Karstwasser) und Zentrale Flims, Felsbach (Bergwasser) sind in einem Gebäude Felsbach			;   			;  ; 			;  ; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Flims, Felsbach (Bergwasser)",,,,Flims,CH,0.28,Hydro,Run-of-river,,2011,,46.8340905068,9.31765249379,,"Renewable energy",Hydro,,,"- Zentrale Flims, Felsbach (Bergwasser) und Zentrale Flims, Felsbach (Karstwasser) sind in einem Gebäude Felsbach		; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Mulin,,,,"Trin Mulin",CH,1.6,Hydro,Run-of-river,,2004,,46.833447951,9.34018135796,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Pintrun,,,,Trin,CH,6.48,Hydro,Run-of-river,,1944,,46.8148577632,9.34883064445,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Ferrera 1",,,,Ausserferrera,CH,180,Hydro,"Pumped storage",,2017,,46.5329177645,9.43419338513,12W-0000000016-H,"Renewable energy",Hydro,,,"- Zentralen Ferrera 1 und Ferrera 2 in einem Gebäude          ; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Ferrera 2",,,,Ausserferrera,CH,4.4,Hydro,Run-of-river,,2017,,46.5329177645,9.43419338513,12W-0000000016-H,"Renewable energy",Hydro,,,"- Zentralen Ferrera 1 und Ferrera 2 in einem Gebäude          ; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Nufenen,,,,Nufenen,CH,0.3,Hydro,Run-of-river,,2009,,46.5430537927,9.24795177052,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Splügen (Tambobach)",,,,Splügen,CH,1.8,Hydro,Run-of-river,,2012,,46.5459228175,9.30973326414,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Stauanlage Sufers Dotieranlage",,,,Sufers,CH,0.71,Hydro,Run-of-river,,2010,,,,,"Renewable energy",Hydro,,,"- Dotieranlage wurde 1989 erbaut; - Erneuerung der Dotieranlage im Rahmen der Gesamterneuerung der KWH (2010 - 2017); ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Bärenburg,,,,Andeer,CH,220,Hydro,Reservoir,,2017,,46.5901915365,9.42142722621,12W-0000000016-H,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Bärenburg Dotieranlage",,,,Andeer,CH,1.6,Hydro,Run-of-river,,2017,,46.5901915365,9.42142722621,12W-0000000016-H,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Sils,,,,"Sils, Nisellas",CH,247,Hydro,Reservoir,,1961,,46.7031360141,9.46664904976,12W-0000000016-H,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Thusis,,,,Thusis,CH,4.6,Hydro,Run-of-river,,2017,,46.6901486217,9.44288408447,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Frauenkirch,,,,"Davos, Frauenkirch",CH,0.7,Hydro,Run-of-river,,1963,,46.7688686224,9.80558112281,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Glaris,,,,"Davos, Glaris",CH,1.13,Hydro,Run-of-river,,1964,,46.7360930283,9.77586865383,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Filisur,,,,Filisur,CH,65,Hydro,Run-of-river,,2002,,46.6698919694,9.68920263555,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Filisur-Tiefencastel,,,,Tiefencastel,CH,24,Hydro,Run-of-river,,1989,,46.6608466013,9.57955507518,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Stalvedro (Julia)",,,,Bivio,CH,0.65,Hydro,Run-of-river,,1980,,46.4796105068,9.6452128901,12W-0000000064-3,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Mulegn, Tinizong-Rona",,,,Tinizong-Rona,CH,7,Hydro,Run-of-river,,2016,,,,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
